"贸易伙伴编码","贸易伙伴名称",
101,阿富汗,
102,巴林,
103,孟加拉国,
104,不丹,
105,文莱,
106,缅甸,
107,柬埔寨,
108,塞浦路斯,
109,朝鲜,
110,中国香港,
111,印度,
112,印度尼西亚,
113,伊朗,
114,伊拉克,
115,以色列,
116,日本,
117,约旦,
118,科威特,
119,老挝,
120,黎巴嫩,
121,中国澳门,
122,马来西亚,
123,马尔代夫,
124,蒙古,
125,尼泊尔联邦民主共和国,
126,阿曼,
127,巴基斯坦,
128,巴勒斯坦,
129,菲律宾,
130,卡塔尔,
131,沙特阿拉伯,
132,新加坡,
133,韩国,
134,斯里兰卡,
135,叙利亚,
136,泰国,
137,土耳其,
138,阿联酋,
139,也门,
141,越南,
142,中国,
143,中国台湾,
144,东帝汶,
145,哈萨克斯坦,
146,吉尔吉斯斯坦,
147,塔吉克斯坦,
148,土库曼斯坦,
149,乌兹别克斯坦,
199,亚洲其他国家(地区),
201,阿尔及利亚,
202,安哥拉,
203,贝宁,
204,博茨瓦纳,
205,布隆迪,
206,喀麦隆,
207,加那利群岛,
208,佛得角,
209,中非,
210,塞卜泰(休达),
211,乍得,
212,科摩罗,
213,刚果(布),
214,吉布提,
215,埃及,
216,赤道几内亚,
217,埃塞俄比亚,
218,加蓬,
219,冈比亚,
220,加纳,
221,几内亚,
222,几内亚比绍,
223,科特迪瓦,
224,肯尼亚,
225,利比里亚,
226,利比亚,
227,马达加斯加,
228,马拉维,
229,马里,
230,毛里塔尼亚,
231,毛里求斯,
232,摩洛哥,
233,莫桑比克,
234,纳米比亚,
235,尼日尔,
236,尼日利亚,
237,留尼汪,
238,卢旺达,
239,圣多美和普林西比,
240,塞内加尔,
241,塞舌尔,
242,塞拉利昂,
243,索马里,
244,南非,
245,西撒哈拉,
246,苏丹,
247,坦桑尼亚,
248,多哥,
249,突尼斯,
250,乌干达,
251,布基纳法索,
252,刚果(金),
253,赞比亚,
254,津巴布韦,
255,莱索托,
256,梅利利亚,
257,斯威士兰,
258,厄立特里亚,
259,马约特,
260,南苏丹共和国,
299,非洲其他国家(地区),
301,比利时,
302,丹麦,
303,英国,
304,德国,
305,法国,
306,爱尔兰,
307,意大利,
308,卢森堡,
309,荷兰,
310,希腊,
311,葡萄牙,
312,西班牙,
313,阿尔巴尼亚,
314,安道尔,
315,奥地利,
316,保加利亚,
318,芬兰,
320,直布罗陀,
321,匈牙利,
322,冰岛,
323,列支敦士登,
324,马耳他,
325,摩纳哥,
326,挪威,
327,波兰,
328,罗马尼亚,
329,圣马力诺,
330,瑞典,
331,瑞士,
334,爱沙尼亚,
335,拉脱维亚,
336,立陶宛,
337,格鲁吉亚,
338,亚美尼亚,
339,阿塞拜疆,
340,白俄罗斯,
343,摩尔多瓦,
344,俄罗斯联邦,
347,乌克兰,
349,塞尔维亚和黑山,
350,斯洛文尼亚,
351,克罗地亚,
352,捷克,
353,斯洛伐克,
354,北马其顿共和国,
355,波黑,
356,梵蒂冈城国,
357,法罗群岛,
358,塞尔维亚,
359,黑山,
399,欧洲其他国家(地区),
401,安提瓜和巴布达,
402,阿根廷,
403,阿鲁巴,
404,巴哈马,
405,巴巴多斯,
406,伯利兹,
408,多民族玻利维亚国,
409,博内尔,
410,巴西,
411,开曼群岛,
412,智利,
413,哥伦比亚,
414,多米尼克,
415,哥斯达黎加,
416,古巴,
417,库腊索岛,
418,多米尼加共和国,
419,厄瓜多尔,
420,法属圭亚那,
421,格林纳达,
422,瓜德罗普,
423,危地马拉,
424,圭亚那,
425,海地,
426,洪都拉斯,
427,牙买加,
428,马提尼克,
429,墨西哥,
430,蒙特塞拉特,
431,尼加拉瓜,
432,巴拿马,
433,巴拉圭,
434,秘鲁,
435,波多黎各,
436,萨巴,
437,圣卢西亚,
438,圣马丁岛,
439,圣文森特和格林纳丁斯,
440,萨尔瓦多,
441,苏里南,
442,特立尼达和多巴哥,
443,特克斯和凯科斯群岛,
444,乌拉圭,
445,委内瑞拉,
446,英属维尔京群岛,
447,圣其茨和尼维斯,
448,圣皮埃尔和密克隆,
449,荷属安地列斯,
499,拉丁美洲其他国家(地区),
501,加拿大,
502,美国,
503,格陵兰,
504,百慕大,
599,北美洲其他国家(地区),
601,澳大利亚,
602,库克群岛,
603,斐济,
604,盖比群岛,
605,马克萨斯群岛,
606,瑙鲁,
607,新喀里多尼亚,
608,瓦努阿图,
609,新西兰,
610,诺福克岛,
611,巴布亚新几内亚,
612,社会群岛,
613,所罗门群岛,
614,汤加,
615,土阿莫土群岛,
616,土布艾群岛,
617,萨摩亚,
618,基里巴斯,
619,图瓦卢,
620,密克罗尼西亚联邦,
621,马绍尔群岛,
622,帕劳,
623,法属波利尼西亚,
625,瓦利斯和浮图纳,
699,大洋洲其他国家(地区),
701,国(地)别不详,
702,联合国及机构和国际组织,
999,中性包装原产国别,
