"商品编码","商品名称","贸易伙伴编码","贸易伙伴名称","贸易方式编码","贸易方式名称","注册地编码","注册地名称","第一数量","第一计量单位","第二数量","第二计量单位","人民币",
"29012920","乙炔","110","中国香港","10","一般贸易","44","广东省","214847","千克","0","?","5,848,714",
"29012920","乙炔","121","中国澳门","10","一般贸易","44","广东省","12577","千克","0","?","436,449",
"29012920","乙炔","133","韩国","10","一般贸易","21","辽宁省","100","千克","0","?","92,251",
"29012920","乙炔","133","韩国","10","一般贸易","31","上海市","6750","千克","0","?","2,776,533",
"29012920","乙炔","133","韩国","10","一般贸易","37","山东省","48","千克","0","?","3,361",
"29012920","乙炔","141","越南","10","一般贸易","37","山东省","126","千克","0","?","7,527",
"29012920","乙炔","143","中国台湾","10","一般贸易","31","上海市","576","千克","0","?","387,003",
"29012920","乙炔","143","中国台湾","10","一般贸易","44","广东省","4800","千克","0","?","132,000",
"29012920","乙炔","143","中国台湾","15","进料加工贸易","61","陕西省","4034","千克","0","?","5,432,631",
"29012920","乙炔","143","中国台湾","33","保税监管场所进出境货物","31","上海市","800","千克","0","?","1,026,226",
"29012920","乙炔","202","安哥拉","10","一般贸易","32","江苏省","990","千克","0","?","50,309",
"29012920","乙炔","211","乍得","10","一般贸易","31","上海市","105","千克","0","?","21,004",
"29012920","乙炔","220","加纳","10","一般贸易","37","山东省","2000","千克","0","?","100,000",
"29012920","乙炔","221","几内亚","10","一般贸易","37","山东省","2940","千克","0","?","104,979",
"29012920","乙炔","242","塞拉利昂","10","一般贸易","37","山东省","1000","千克","0","?","50,368",
"29012920","乙炔","412","智利","10","一般贸易","37","山东省","1725","千克","0","?","29,196",
"29012920","乙炔","413","哥伦比亚","10","一般贸易","31","上海市","240","千克","0","?","14,115",
"29012920","乙炔","501","加拿大","10","一般贸易","32","江苏省","1287","千克","0","?","94,799",
"29012920","乙炔","601","澳大利亚","10","一般贸易","41","河南省","7443","千克","0","?","392,460",
"29012920","乙炔","611","巴布亚新几内亚","10","一般贸易","37","山东省","1600","千克","0","?","101,625",
"29012990","未列名不饱和无环烃","110","中国香港","10","一般贸易","31","上海市","86","千克","0","?","271,646",
"29012990","未列名不饱和无环烃","110","中国香港","10","一般贸易","32","江苏省","54","千克","0","?","233,107",
"29012990","未列名不饱和无环烃","111","印度","10","一般贸易","31","上海市","995","千克","0","?","350,446",
"29012990","未列名不饱和无环烃","111","印度","10","一般贸易","32","江苏省","698815","千克","0","?","5,784,901",
"29012990","未列名不饱和无环烃","111","印度","10","一般贸易","33","浙江省","432692","千克","0","?","16,124,322",
"29012990","未列名不饱和无环烃","111","印度","10","一般贸易","36","江西省","111429","千克","0","?","5,211,515",
"29012990","未列名不饱和无环烃","111","印度","10","一般贸易","44","广东省","679480","千克","0","?","27,615,160",
"29012990","未列名不饱和无环烃","111","印度","10","一般贸易","51","四川省","0","千克","0","?","272",
"29012990","未列名不饱和无环烃","111","印度","15","进料加工贸易","36","江西省","198000","千克","0","?","7,787,232",
"29012990","未列名不饱和无环烃","112","印度尼西亚","10","一般贸易","31","上海市","200","千克","0","?","55,598",
"29012990","未列名不饱和无环烃","112","印度尼西亚","10","一般贸易","36","江西省","100","千克","0","?","29,266",
"29012990","未列名不饱和无环烃","112","印度尼西亚","10","一般贸易","44","广东省","25","千克","0","?","3,234",
"29012990","未列名不饱和无环烃","113","伊朗","10","一般贸易","33","浙江省","1","千克","0","?","169",
"29012990","未列名不饱和无环烃","113","伊朗","10","一般贸易","46","海南省","0","千克","0","?","8",
"29012990","未列名不饱和无环烃","116","日本","10","一般贸易","12","天津市","67","千克","0","?","68,077",
"29012990","未列名不饱和无环烃","116","日本","10","一般贸易","31","上海市","870340","千克","0","?","7,526,432",
"29012990","未列名不饱和无环烃","116","日本","10","一般贸易","32","江苏省","147181","千克","0","?","28,658,268",
"29012990","未列名不饱和无环烃","116","日本","10","一般贸易","33","浙江省","90","千克","0","?","153,008",
"29012990","未列名不饱和无环烃","116","日本","10","一般贸易","44","广东省","271610","千克","0","?","10,341,269",
"29012990","未列名不饱和无环烃","116","日本","10","一般贸易","51","四川省","0","千克","0","?","38,963",
"29012990","未列名不饱和无环烃","116","日本","14","来料加工贸易","32","江苏省","532560","千克","0","?","4,756,307",
"29012990","未列名不饱和无环烃","116","日本","15","进料加工贸易","32","江苏省","28000","千克","0","?","477,705",
"29012990","未列名不饱和无环烃","116","日本","33","保税监管场所进出境货物","44","广东省","219","千克","0","?","6,714",
"29012990","未列名不饱和无环烃","127","巴基斯坦","10","一般贸易","33","浙江省","2070","千克","0","?","82,210",
"29012990","未列名不饱和无环烃","130","卡塔尔","10","一般贸易","12","天津市","132350","千克","0","?","1,227,545",
"29012990","未列名不饱和无环烃","130","卡塔尔","10","一般贸易","31","上海市","5832311","千克","0","?","37,013,553",
"29012990","未列名不饱和无环烃","130","卡塔尔","10","一般贸易","32","江苏省","5218041","千克","0","?","38,599,367",
"29012990","未列名不饱和无环烃","130","卡塔尔","10","一般贸易","34","安徽省","419878","千克","0","?","3,726,407",
"29012990","未列名不饱和无环烃","130","卡塔尔","10","一般贸易","44","广东省","6335123","千克","0","?","51,570,870",
"29012990","未列名不饱和无环烃","130","卡塔尔","33","保税监管场所进出境货物","32","江苏省","1426881","千克","0","?","11,398,992",
"29012990","未列名不饱和无环烃","131","沙特阿拉伯","10","一般贸易","32","江苏省","1493586","千克","0","?","10,475,027",
"29012990","未列名不饱和无环烃","131","沙特阿拉伯","10","一般贸易","33","浙江省","1147956","千克","0","?","8,471,204",
"29012990","未列名不饱和无环烃","131","沙特阿拉伯","10","一般贸易","37","山东省","180","千克","0","?","11,458",
"29012990","未列名不饱和无环烃","131","沙特阿拉伯","10","一般贸易","44","广东省","2095901","千克","0","?","16,119,481",
"29012990","未列名不饱和无环烃","132","新加坡","10","一般贸易","32","江苏省","0","千克","0","?","55",
"29012990","未列名不饱和无环烃","132","新加坡","10","一般贸易","33","浙江省","25600","千克","0","?","318,582",
"29012990","未列名不饱和无环烃","132","新加坡","10","一般贸易","35","福建省","160","千克","0","?","45,406",
"29012990","未列名不饱和无环烃","132","新加坡","10","一般贸易","36","江西省","1896","千克","0","?","450,401",
"29012990","未列名不饱和无环烃","133","韩国","10","一般贸易","31","上海市","145335","千克","0","?","1,840,849",
"29012990","未列名不饱和无环烃","133","韩国","10","一般贸易","32","江苏省","4500","千克","0","?","94,404",
"29012990","未列名不饱和无环烃","133","韩国","10","一般贸易","33","浙江省","6160","千克","0","?","118,919",
"29012990","未列名不饱和无环烃","133","韩国","10","一般贸易","35","福建省","50","千克","0","?","8,042",
"29012990","未列名不饱和无环烃","133","韩国","10","一般贸易","37","山东省","50","千克","0","?","50,995",
"29012990","未列名不饱和无环烃","133","韩国","39","其他","31","上海市","0","千克","0","?","7,344",
"29012990","未列名不饱和无环烃","136","泰国","10","一般贸易","31","上海市","770","千克","0","?","11,978",
"29012990","未列名不饱和无环烃","136","泰国","10","一般贸易","32","江苏省","40","千克","0","?","5,928",
