"Date of data","Commodity code","Commodity","Trading partner code","Trading partner","Customs Regime code","Customs Regime","Locations of importers and exporters code","Locations of importers and exporters","Quantity","Unit","Supplementary Quantity","Supplementary Unit","US dollar",
"202601","29012920","Acetylene","110","Hong Kong£¬China","10","Ordinary Trade","44","Guangdong Province","81782","Kilogram","0","?","315,286",
"202601","29012920","Acetylene","121","Macao,China","10","Ordinary Trade","44","Guangdong Province","5800","Kilogram","0","?","28,579",
"202601","29012920","Acetylene","133","Republic of Korea","10","Ordinary Trade","31","Shanghai Province","3574","Kilogram","0","?","199,307",
"202601","29012920","Acetylene","143","Taiwan£¬China","15","Processing with Imported Materials","61","Shaanxi Province","1248","Kilogram","0","?","234,351",
"202601","29012920","Acetylene","412","Chile","10","Ordinary Trade","37","Shandong Province","1725","Kilogram","0","?","4,137",
"202601","29012920","Acetylene","413","Colombia","10","Ordinary Trade","31","Shanghai Province","240","Kilogram","0","?","2,000",
"202601","29012920","Acetylene","501","Canada","10","Ordinary Trade","32","Jiangsu Province","1287","Kilogram","0","?","13,433",
"202601","29012920","Acetylene","601","Australia","10","Ordinary Trade","41","Henan Province","7443","Kilogram","0","?","55,610",
"202601","29012920","Acetylene","611","Papua New Guinea","10","Ordinary Trade","37","Shandong Province","1600","Kilogram","0","?","14,400",
"202601","29012990","Unsaturated acyclic hydrocarbons, nes","110","Hong Kong£¬China","10","Ordinary Trade","31","Shanghai Province","51","Kilogram","0","?","16,507",
"202601","29012990","Unsaturated acyclic hydrocarbons, nes","110","Hong Kong£¬China","10","Ordinary Trade","32","Jiangsu Province","6","Kilogram","0","?","11,494",
"202601","29012990","Unsaturated acyclic hydrocarbons, nes","111","India","10","Ordinary Trade","31","Shanghai Province","925","Kilogram","0","?","36,846",
"202601","29012990","Unsaturated acyclic hydrocarbons, nes","111","India","10","Ordinary Trade","32","Jiangsu Province","209825","Kilogram","0","?","256,076",
"202601","29012990","Unsaturated acyclic hydrocarbons, nes","111","India","10","Ordinary Trade","33","Zhejiang Province","243000","Kilogram","0","?","1,255,944",
"202601","29012990","Unsaturated acyclic hydrocarbons, nes","111","India","10","Ordinary Trade","36","Jiangxi Province","54725","Kilogram","0","?","330,740",
"202601","29012990","Unsaturated acyclic hydrocarbons, nes","111","India","10","Ordinary Trade","44","Guangdong Province","326080","Kilogram","0","?","1,954,825",
"202601","29012990","Unsaturated acyclic hydrocarbons, nes","111","India","10","Ordinary Trade","51","Sichuan Province","0","Kilogram","0","?","38",
"202601","29012990","Unsaturated acyclic hydrocarbons, nes","111","India","15","Processing with Imported Materials","36","Jiangxi Province","108000","Kilogram","0","?","602,010",
"202601","29012990","Unsaturated acyclic hydrocarbons, nes","112","Indonesia","10","Ordinary Trade","44","Guangdong Province","5","Kilogram","0","?","285",
"202601","29012990","Unsaturated acyclic hydrocarbons, nes","113","Iran","10","Ordinary Trade","33","Zhejiang Province","1","Kilogram","0","?","24",
"202601","29012990","Unsaturated acyclic hydrocarbons, nes","113","Iran","10","Ordinary Trade","46","Hainan Province","0","Kilogram","0","?","1",
"202601","29012990","Unsaturated acyclic hydrocarbons, nes","116","Japan","10","Ordinary Trade","31","Shanghai Province","220904","Kilogram","0","?","276,169",
"202601","29012990","Unsaturated acyclic hydrocarbons, nes","116","Japan","10","Ordinary Trade","32","Jiangsu Province","54946","Kilogram","0","?","1,398,163",
"202601","29012990","Unsaturated acyclic hydrocarbons, nes","116","Japan","10","Ordinary Trade","44","Guangdong Province","76000","Kilogram","0","?","355,480",
"202601","29012990","Unsaturated acyclic hydrocarbons, nes","116","Japan","14","Processing and Assembling","32","Jiangsu Province","72840","Kilogram","0","?","95,108",
"202601","29012990","Unsaturated acyclic hydrocarbons, nes","116","Japan","15","Processing with Imported Materials","32","Jiangsu Province","14000","Kilogram","0","?","34,472",
"202601","29012990","Unsaturated acyclic hydrocarbons, nes","127","Pakistan","10","Ordinary Trade","33","Zhejiang Province","2025","Kilogram","0","?","11,340",
"202601","29012990","Unsaturated acyclic hydrocarbons, nes","130","Qatar","10","Ordinary Trade","31","Shanghai Province","94177","Kilogram","0","?","113,097",
"202601","29012990","Unsaturated acyclic hydrocarbons, nes","130","Qatar","10","Ordinary Trade","32","Jiangsu Province","2606316","Kilogram","0","?","2,257,734",
"202601","29012990","Unsaturated acyclic hydrocarbons, nes","131","Saudi Arabia","10","Ordinary Trade","32","Jiangsu Province","698594","Kilogram","0","?","768,632",
"202601","29012990","Unsaturated acyclic hydrocarbons, nes","131","Saudi Arabia","10","Ordinary Trade","44","Guangdong Province","2095901","Kilogram","0","?","2,274,450",
"202601","29012990","Unsaturated acyclic hydrocarbons, nes","132","Singapore","10","Ordinary Trade","33","Zhejiang Province","12800","Kilogram","0","?","22,733",
"202601","29012990","Unsaturated acyclic hydrocarbons, nes","132","Singapore","10","Ordinary Trade","35","Fujian Province","160","Kilogram","0","?","6,434",
"202601","29012990","Unsaturated acyclic hydrocarbons, nes","133","Republic of Korea","10","Ordinary Trade","31","Shanghai Province","64326","Kilogram","0","?","112,318",
"202601","29012990","Unsaturated acyclic hydrocarbons, nes","133","Republic of Korea","10","Ordinary Trade","32","Jiangsu Province","4500","Kilogram","0","?","12,457",
"202601","29012990","Unsaturated acyclic hydrocarbons, nes","133","Republic of Korea","10","Ordinary Trade","33","Zhejiang Province","6000","Kilogram","0","?","15,985",
"202601","29012990","Unsaturated acyclic hydrocarbons, nes","133","Republic of Korea","10","Ordinary Trade","37","Shandong Province","50","Kilogram","0","?","7,226",
"202601","29012990","Unsaturated acyclic hydrocarbons, nes","137","T¨¹rkiye","10","Ordinary Trade","44","Guangdong Province","26","Kilogram","0","?","12,849",
"202601","29012990","Unsaturated acyclic hydrocarbons, nes","142","China","10","Ordinary Trade","31","Shanghai Province","0","Kilogram","0","?","28",
"202601","29012990","Unsaturated acyclic hydrocarbons, nes","143","Taiwan£¬China","10","Ordinary Trade","31","Shanghai Province","20","Kilogram","0","?","365",
"202601","29012990","Unsaturated acyclic hydrocarbons, nes","244","South Africa","10","Ordinary Trade","32","Jiangsu Province","58460","Kilogram","0","?","72,426",
"202601","29012990","Unsaturated acyclic hydrocarbons, nes","244","South Africa","10","Ordinary Trade","44","Guangdong Province","2015965","Kilogram","0","?","2,458,291",
"202601","29012990","Unsaturated acyclic hydrocarbons, nes","301","Belgium","10","Ordinary Trade","31","Shanghai Province","2","Kilogram","0","?","179",
"202601","29012990","Unsaturated acyclic hydrocarbons, nes","301","Belgium","10","Ordinary Trade","32","Jiangsu Province","49440","Kilogram","0","?","60,764",
"202601","29012990","Unsaturated acyclic hydrocarbons, nes","301","Belgium","10","Ordinary Trade","44","Guangdong Province","17020","Kilogram","0","?","54,464",
"202601","29012990","Unsaturated acyclic hydrocarbons, nes","301","Belgium","15","Processing with Imported Materials","33","Zhejiang Province","16500","Kilogram","0","?","37,125",
"202601","29012990","Unsaturated acyclic hydrocarbons, nes","303","United Kingdom","10","Ordinary Trade","31","Shanghai Province","0","Kilogram","0","?","7",
"202601","29012990","Unsaturated acyclic hydrocarbons, nes","303","United Kingdom","10","Ordinary Trade","32","Jiangsu Province","2210","Kilogram","0","?","260,780",
"202601","29012990","Unsaturated acyclic hydrocarbons, nes","304","Germany","10","Ordinary Trade","31","Shanghai Province","12461","Kilogram","0","?","130,991",
"202601","29012990","Unsaturated acyclic hydrocarbons, nes","304","Germany","10","Ordinary Trade","33","Zhejiang Province","0","Kilogram","0","?","1,333",
"202601","29012990","Unsaturated acyclic hydrocarbons, nes","304","Germany","10","Ordinary Trade","51","Sichuan Province","5","Kilogram","0","?","300",
"202601","29012990","Unsaturated acyclic hydrocarbons, nes","305","France","10","Ordinary Trade","31","Shanghai Province","61","Kilogram","0","?","138,714",
"202601","29012990","Unsaturated acyclic hydrocarbons, nes","307","Italy","10","Ordinary Trade","32","Jiangsu Province","1920","Kilogram","0","?","10,928",
"202601","29012990","Unsaturated acyclic hydrocarbons, nes","311","Portugal","10","Ordinary Trade","36","Jiangxi Province","17000","Kilogram","0","?","190,430",
"202601","29012990","Unsaturated acyclic hydrocarbons, nes","312","Spain","10","Ordinary Trade","31","Shanghai Province","416","Kilogram","0","?","51,354",
"202601","29012990","Unsaturated acyclic hydrocarbons, nes","312","Spain","10","Ordinary Trade","32","Jiangsu Province","225","Kilogram","0","?","9,944",
"202601","29012990","Unsaturated acyclic hydrocarbons, nes","312","Spain","10","Ordinary Trade","33","Zhejiang Province","19016","Kilogram","0","?","92,363",
"202601","29012990","Unsaturated acyclic hydrocarbons, nes","312","Spain","10","Ordinary Trade","44","Guangdong Province","54050","Kilogram","0","?","326,218",
"202601","29012990","Unsaturated acyclic hydrocarbons, nes","331","Switzerland","10","Ordinary Trade","11","Beijing","100","Kilogram","0","?","3,800",
"202601","29012990","Unsaturated acyclic hydrocarbons, nes","331","Switzerland","10","Ordinary Trade","31","Shanghai Province","2","Kilogram","0","?","1,729",
"202601","29012990","Unsaturated acyclic hydrocarbons, nes","331","Switzerland","10","Ordinary Trade","32","Jiangsu Province","5","Kilogram","0","?","6,001",
"202601","29012990","Unsaturated acyclic hydrocarbons, nes","331","Switzerland","10","Ordinary Trade","44","Guangdong Province","1","Kilogram","0","?","1,209",
"202601","29012990","Unsaturated acyclic hydrocarbons, nes","340","Belarus","10","Ordinary Trade","33","Zhejiang Province","1","Kilogram","0","?","116",
"202601","29012990","Unsaturated acyclic hydrocarbons, nes","344","Russia","10","Ordinary Trade","32","Jiangsu Province","312000","Kilogram","0","?","747,790",
"202601","29012990","Unsaturated acyclic hydrocarbons, nes","344","Russia","10","Ordinary Trade","33","Zhejiang Province","31820","Kilogram","0","?","29,426",
"202601","29012990","Unsaturated acyclic hydrocarbons, nes","410","Brazil","10","Ordinary Trade","34","Anhui Province","0","Kilogram","0","?","164",
"202601","29012990","Unsaturated acyclic hydrocarbons, nes","410","Brazil","10","Ordinary Trade","42","Hubei Province","555800","Kilogram","0","?","2,441,533",
"202601","29012990","Unsaturated acyclic hydrocarbons, nes","501","Canada","10","Ordinary Trade","31","Shanghai Province","64000","Kilogram","0","?","93,178",
"202601","29012990","Unsaturated acyclic hydrocarbons, nes","502","United States","10","Ordinary Trade","11","Beijing","4","Kilogram","0","?","31",
"202601","29012990","Unsaturated acyclic hydrocarbons, nes","502","United States","10","Ordinary Trade","12","Tianjin","150000","Kilogram","0","?","181,000",
"202601","29012990","Unsaturated acyclic hydrocarbons, nes","502","United States","10","Ordinary Trade","31","Shanghai Province","225917","Kilogram","0","?","312,869",
"202601","29012990","Unsaturated acyclic hydrocarbons, nes","502","United States","10","Ordinary Trade","32","Jiangsu Province","999403","Kilogram","0","?","1,099,343",
"202601","29012990","Unsaturated acyclic hydrocarbons, nes","502","United States","10","Ordinary Trade","33","Zhejiang Province","1758391","Kilogram","0","?","2,122,403",
"202601","29012990","Unsaturated acyclic hydrocarbons, nes","502","United States","10","Ordinary Trade","37","Shandong Province","471205","Kilogram","0","?","568,584",
